movie:year:imdb:metascore:votes
1. Logan:2017:8.1:77:827K
"2. Thor: Ragnarok":2017:7.9:74:813K
3. Guardians of the Galaxy Vol. 2:2017:7.6:67:756K
4. Dunkirk:2017:7.8:94:736K
"5. Spider-Man: Homecoming":2017:7.4:73:716K
6. Wonder Woman:2017:7.3:76:698K
7. Get Out:2017:7.8:85:691K
"8. Star Wars: Episode VIII - The Last Jedi":2017:6.9:84:670K
9. Blade Runner 2049:2017:8.0:81:658K
10. Baby Driver:2017:7.5:86:605K
11. It:2017:7.3:69:603K
12. Coco:2017:8.4:81:586K
13. Three Billboards Outside Ebbing, Missouri:2017:8.1:88:553K
"15. John Wick: Chapter 2":2017:7.4:75:509K
16. Justice League:2017:6.1:45:477K
17. The Shape of Water:2017:7.3:87:446K
"19. Jumanji: Welcome to the Jungle":2017:6.9:58:436K
"20. Kingsman: The Golden Circle":2017:6.7:44:361K
"21. Kong: Skull Island":2017:6.7:62:345K
"23. Pirates of the Caribbean: Salazar's Revenge":2017:6.5:39:344K
24. Beauty and the Beast:2017:7.1:65:333K
26. Lady Bird:2017:7.4:93:326K
28. Call Me by Your Name:2017:7.8:94:313K
29. The Greatest Showman:2017:7.5:48:310K
"30. Alien: Covenant":2017:6.4:65:302K
31. Murder on the Orient Express:2017:6.5:52:295K
32. War for the Planet of the Apes:2017:7.4:82:280K
33. Wind River:2017:7.7:73:279K
36. Fast & Furious 8:2017:6.6:56:253K
37. Life:2017:6.6:54:252K
38. Mother!:2017:6.6:76:249K
39. The Hitman's Bodyguard:2017:6.9:47:246K
40. I, Tonya:2017:7.5:77:242K
"41. King Arthur: Legend of the Sword":2017:6.7:41:232K
42. Ghost in the Shell:2017:6.3:52:227K
44. Darkest Hour:2017:7.4:75:220K
46. American Made:2017:7.1:65:207K
47. Atomic Blonde:2017:6.7:63:206K
48. The Mummy:2017:5.4:34:206K
49. Baywatch:2017:5.5:37:201K
50. Bright:2017:6.3:29:201K
1. Logan:2017:8.1:77:827K
"2. Thor: Ragnarok":2017:7.9:74:813K
3. Guardians of the Galaxy Vol. 2:2017:7.6:67:756K
4. Dunkirk:2017:7.8:94:736K
"5. Spider-Man: Homecoming":2017:7.4:73:716K
6. Wonder Woman:2017:7.3:76:698K
7. Get Out:2017:7.8:85:691K
"8. Star Wars: Episode VIII - The Last Jedi":2017:6.9:84:670K
9. Blade Runner 2049:2017:8.0:81:658K
10. Baby Driver:2017:7.5:86:605K
11. It:2017:7.3:69:603K
12. Coco:2017:8.4:81:586K
13. Three Billboards Outside Ebbing, Missouri:2017:8.1:88:553K
"15. John Wick: Chapter 2":2017:7.4:75:509K
16. Justice League:2017:6.1:45:477K
17. The Shape of Water:2017:7.3:87:446K
"19. Jumanji: Welcome to the Jungle":2017:6.9:58:436K
"20. Kingsman: The Golden Circle":2017:6.7:44:361K
"21. Kong: Skull Island":2017:6.7:62:345K
"23. Pirates of the Caribbean: Salazar's Revenge":2017:6.5:39:344K
24. Beauty and the Beast:2017:7.1:65:333K
26. Lady Bird:2017:7.4:93:326K
28. Call Me by Your Name:2017:7.8:94:313K
29. The Greatest Showman:2017:7.5:48:310K
"30. Alien: Covenant":2017:6.4:65:302K
31. Murder on the Orient Express:2017:6.5:52:295K
32. War for the Planet of the Apes:2017:7.4:82:280K
33. Wind River:2017:7.7:73:279K
36. Fast & Furious 8:2017:6.6:56:253K
37. Life:2017:6.6:54:252K
38. Mother!:2017:6.6:76:249K
39. The Hitman's Bodyguard:2017:6.9:47:246K
40. I, Tonya:2017:7.5:77:242K
"41. King Arthur: Legend of the Sword":2017:6.7:41:232K
42. Ghost in the Shell:2017:6.3:52:227K
44. Darkest Hour:2017:7.4:75:220K
46. American Made:2017:7.1:65:207K
47. Atomic Blonde:2017:6.7:63:206K
48. The Mummy:2017:5.4:34:206K
49. Baywatch:2017:5.5:37:201K
50. Bright:2017:6.3:29:201K
1. Logan:2017:8.1:77:827K
"2. Thor: Ragnarok":2017:7.9:74:813K
3. Guardians of the Galaxy Vol. 2:2017:7.6:67:756K
4. Dunkirk:2017:7.8:94:736K
"5. Spider-Man: Homecoming":2017:7.4:73:716K
6. Wonder Woman:2017:7.3:76:698K
7. Get Out:2017:7.8:85:691K
"8. Star Wars: Episode VIII - The Last Jedi":2017:6.9:84:670K
9. Blade Runner 2049:2017:8.0:81:658K
10. Baby Driver:2017:7.5:86:605K
11. It:2017:7.3:69:603K
12. Coco:2017:8.4:81:586K
13. Three Billboards Outside Ebbing, Missouri:2017:8.1:88:553K
"15. John Wick: Chapter 2":2017:7.4:75:509K
16. Justice League:2017:6.1:45:477K
17. The Shape of Water:2017:7.3:87:446K
"19. Jumanji: Welcome to the Jungle":2017:6.9:58:436K
"20. Kingsman: The Golden Circle":2017:6.7:44:361K
"21. Kong: Skull Island":2017:6.7:62:345K
"23. Pirates of the Caribbean: Salazar's Revenge":2017:6.5:39:344K
24. Beauty and the Beast:2017:7.1:65:333K
26. Lady Bird:2017:7.4:93:326K
28. Call Me by Your Name:2017:7.8:94:313K
29. The Greatest Showman:2017:7.5:48:310K
"30. Alien: Covenant":2017:6.4:65:302K
